рабъ,-s---mn--i
не,---------n
прѣбъіваетъ,3spia----i
въ,---------n
домоу,-s---ml--i
въ,---------n
вѣкъ,-s---ma--i
снъ,-s---mn--i
прѣбъіваетъ,3spia----i
въ,---------n
вѣкъ,-s---ma--i
аште,---------n
оубо,---------n
снъ,-s---mn--i
въі,2p---qa--i
свободітъ,3spia----i
въ,---------n
істінѫ,-s---fa--i
свободь,---------n
бѫдете,2pfia----i
вѣмь,1spia----i
ѣко,---------n
сѣмѧ,-s---na--i
авраамле,-s---napsi
есте,2ppia----i
нъ,---------n
іштете,2ppia----i
мене,1s---qg--i
оубіті,--pna----i
ѣко,---------n
слово,-s---nn--i
мое,1s---nn--i
не,---------n
въмѣштаетъ,3spia----i
сѧ,3s---qa--i
въ,---------n
въі,2p---qn--i
азъ,1s---qn--i
ѣже,-p---na--i
відѣхъ,1saia----i
оу,---------n
оца,-s---mg--i
моего,1s---og--i
глѭ,1spia----i
і,---------n
въі,2p---qn--i
оубо,---------n
ѣже,-p---na--i
відѣсте,2paia----i
оу,---------n
оца,-s---mg--i
вашего,2s---og--i
творіте,2ppia----i
отъвѣшташѧ,3paia----i
і,---------n
рѣшѧ,3paia----i
емоу,3s---md--i
оць,-s---mn--i
нашь,1s---mn--i
авраамъ,-s---mn--i
естъ,3spia----i
гла,3saia----i
імъ,3p---md--i
іс,-s---mn--i
аште,---------n
чѧда,-s---ng--i
аврамлѣ,-s---ogpsi
бъісте,2paia----i
бъілі,-pspamn-si
дѣла,-p---na--i
авраамлѣ,-p---napsi
творілі,-pspamn-si
бъісте,2paia----i
нъінѣ,---------n
же,---------n
іштете,2ppia----i
мене,1s---qg--i
оубіті,--pna----i
чка,-s---mg--i
іже,-s---mn--i
істінѫ,-s---fa--i
вамъ,2p---qd--i
глахъ,1saia----i
ѭже,-s---fa--i
слъішахъ,1saia----i
отъ,---------n
ба,-s---mg--i
сего,-s---og--i
авраамъ,-s---mn--i
нѣстъ,3spia----i
сътворілъ,-sspamn-si
въі,2p---qn--i
творіте,2ppia----i
дѣла,-p---na--i
оца,-s---mg--i
вашего,2s---og--i
рѣшѧ,3paia----i
же,---------n
емоу,3s---md--i
мъі,1p---qn--i
отъ,---------n
любодѣаніѣ,-s---ng--i
нѣсмъ,1ppia----i
рождені,-puppmn-si
мъі,1p---pn--i
едіного,-s---mg--i
оца,-s---mg--i
імамъ,1ppia----i
ба,-s---mg--i
рече,3saia----i
же,---------n
імъ,3p---md--i
іс,-s---mn--i
аште,---------n
бъ,-s---mn--i
оць,-s---mn--i
вашь,2s---mn--i
бі,3spsa----i
бъілъ,-sspamn-si
любілі,-pspamn-si
мѧ,1s---qa--i
бісте,2ppsa----i
азъ,1s---qn--i
бо,---------n
отъ,---------n
ба,-s---mg--i
ізідъ,1saia----i
і,---------n
прідъ,1saia----i
не,---------n
о,---------n
себѣ,3s---ql--i
бо,---------n
прідъ,1saia----i
нъ,---------n
тъ,2s---mn--i
мѧ,1s---ma--i
посъла,2saia----i
по,---------n
чьто,-s---na--i
бесѣдъі,-s---fg--i
моеѧ,1s---fg--i
не,---------n
разоумѣете,2ppia----i
ѣко,---------n
не,---------n
можете,2ppia----i
слъішаті,--pna----i
словесе,-s---ng--i
моего,1s---og--i
въі,2p---qn--i
отъ,---------n
оца,-s---mg--i
діѣвола,-s---mg--i
есте,2ppia----i
і,---------n
похоті,-p---fa--i
оца,-s---mg--i
вашего,2s---og--i
хоштете,2ppia----i
творіті,--pna----i
онъ,-s---mn--i
чкооубіца,-s---fn--i
бѣ,3siia----i
ісконі,---------n
і,---------n
въ,---------n
істінѣ,-s---fd--i
не,---------n
стоітъ,3spia----i
ѣко,---------n
нѣстъ,3spia----i
істінъі,-s---fg--i
вь,---------n
немь,3s---ml--i
егда,---------n
глетъ,3spia----i
лъжѫ,-s---fa--i
отъ,---------n
своіхъ,3p---ng--i
глетъ,3spia----i
ѣко,---------n
лъжь,-s---mnpsi
естъ,3spia----i
і,---------n
оць,-s---mn--i
его,3s---mg--i
азъ,1s---qn--i
же,---------n
зане,---------n
істінѫ,-s---fa--i
глѭ,1spia----i
не,---------n
емлете,2ppia----i
вѣръі,-s---fg--i
мьнѣ,1s---qd--i
къто,-s---qn--i
отъ,---------n
васъ,2p---qg--i
облічаетъ,3spia----i
мѧ,1s---qa--i
о,---------n
грѣсѣ,-s---ml--i
аште,---------n
істінѫ,-s---fa--i
глѭ,1spia----i
по,---------n
чьто,-s---na--i
въі,2p---qn--i
вѣръі,-s---fg--i
не,---------n
емлете,2ppia----i
мьнѣ,1s---qd--i
іже,-s---mn--i
естъ,3spia----i
отъ,---------n
ба,-s---mg--i
глъ,-s---mn--i
бжіі,-s---mnpsi
послоушаетъ,3spia----i
сего,-s---ng--i
раді,---------n
въі,2p---qn--i
не,---------n
послоушаете,2ppia----i
ѣко,---------n
нѣсте,2ppia----i
отъ,---------n
ба,-s---mg--i
отъвѣшташѧ,3paia----i
іюдеі,-p---mn--i
і,---------n
рѣшѧ,3paia----i
емоу,3s---md--i
не,---------n
добрѣ,-------p-i
лі,---------n
глемъ,1ppia----i
мъі,1p---qn--i
ѣко,---------n
самарѣнінъ,-s---mn--i
есі,2spia----i
тъі,2s---qn--i
і,---------n
бѣсъ,-s---ma--i
імаші,2spia----i
отъвѣшта,3saia----i
іс,-s---mn--i
азъ,1s---qn--i
бѣса,-s---mg--i
не,---------n
імамь,1spia----i
нъ,---------n
чьтѫ,1spia----i
оца,-s---mg--i
моего,1s---og--i
і,---------n
въі,2p---qn--i
не,---------n
чьтете,2ppia----i
мене,1s---qg--i
азъ,1s---qn--i
же,---------n
не,---------n
іштѫ,1spia----i
славъі,-s---fg--i
моеѧ,1s---fg--i
естъ,3spia----i
іштѧі,-sppamn-wi
і,3s---ma--i
сѫдѧ,-sppamn-si
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
аште,---------n
къто,-s---qn--i
слово,-s---na--i
мое,1s---na--i
съблюдетъ,3spia----i
съмръті,-s---fg--i
не,---------n
іматъ,3spia----i
відѣті,--pna----i
въ,---------n
вѣкъ,-s---ma--i
рѣшѧ,3paia----i
же,---------n
емоу,3s---md--i
іюдеі,-p---mn--i
нъінѣ,---------n
разоумѣхомъ,1paia----i
ѣко,---------n
бѣсъ,-s---ma--i
імаші,2spia----i
авраамъ,-s---mn--i
оумьрѣтъ,3saia----i
і,---------n
пророці,-p---mn--i
і,---------n
тъі,2s---qn--i
глеші,2spia----i
ѣко,---------n
аште,---------n
къто,-s---pn--i
слово,-s---nn--i
мое,1s---nn--i
съблюдетъ,3spia----i
не,---------n
іматъ,3spia----i
въкоусіті,--pna----i
съмръті,-s---fg--i
въ,---------n
вѣкъ,-s---ma--i
еда,---------n
тъі,2s---qn--i
боліі,-s---mncti
есі,2spia----i
оца,-s---mg--i
нашего,1s---og--i
авраама,-s---mg--i
іже,-s---mn--i
оумрѣтъ,3saia----i
і,---------n
пророці,-p---mn--i
оумрѣшѧ,3paia----i
къто,-s---qn--i
сѧ,3s---qa--i
самъ,-s---mn--i
тъі,2s---qn--i
творіші,2spia----i
отъвѣшта,3saia----i
іс,-s---mn--i
аште,---------n
азъ,1s---qn--i
славлѭ,1spia----i
сѧ,3s---qa--i
самъ,-s---mn--i
слава,-s---fn--i
моѣ,1s---fn--i
нічьтоже,-s---nn--i
естъ,3spia----i
естъ,3spia----i
оць,-s---mn--i
моі,1s---mn--i
славѧі,-sppamn-wi
мѧ,1s---qa--i
егоже,-s---mg--i
въі,2p---qn--i
глете,2ppia----i
ѣко,---------n
бъ,-s---mn--i
нашь,1s---mn--i
естъ,3spia----i
і,---------n
не,---------n
познасте,2paia----i
его,3s---mg--i
азъ,1s---qn--i
же,---------n
вѣмь,1spia----i
і,---------n
і,---------n
аште,---------n
рекѫ,1spia----i
ѣко,---------n
не,---------n
вѣмь,1spia----i
его,3s---mg--i
бѫдѫ,1sfia----i
подобьнъ,-s---mnpsi
вамъ,2p---qd--i
лъжь,-s---mnpsi
нъ,---------n
вѣмь,1spia----i
і,---------n
і,---------n
слово,-s---na--i
его,3s---mg--i
съблюдаѭ,1spia----i
авраамъ,-s---mn--i
оць,-s---mn--i
вашь,2s---mn--i
радъ,-s---mnpsi
бі,3spsa----i
бъілъ,-sspamn-si
да,---------n
бі,3spsa----i
відѣлъ,-sspamn-si
дьнь,-s---ma--i
моі,1s---ma--i
і,---------n
відѣ,3saia----i
і,---------n
въздрадова,3saia----i
сѧ,3s---qa--i
рѣшѧ,3paia----i
же,---------n
іюдеі,-p---mn--i
къ,---------n
немоу,3s---md--i
пѧті,-s---fg--i
десѧтъ,-p---pg--i
лѣтъ,-p---ng--i
не,---------n
ю,---------n
імаші,2spia----i
авраамъ,-s---mn--i
лі,---------n
есі,2spia----i
відѣлъ,-sspamn-si
рече,3saia----i
імъ,3p---md--i
іс,-s---mn--i
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
прѣжде,---------n
даже,---------n
не,---------n
бъістъ,3saia----i
авраамъ,-s---mn--i
азъ,1s---qn--i
есмь,1spia----i
вьзѧшѧ,3paia----i
же,---------n
каменіе,-s---na--i
да,---------n
връгѫтъ,3ppia----i
на,---------n
нь,3s---ma--i
іс,-s---mn--i
же,---------n
съкръі,3saia----i
сѧ,3s---qa--i
і,---------n
ізіде,3saia----i
і,---------n
цръкъве,-s---fl--i
і,---------n
прошьдъ,-supamn-si
посрѣдѣ,---------n
іхъ,3p---mg--i
ідѣаше,3siia----i
і,---------n
хождаше,3siia----i
тако,---------n
і,---------n
мімоідъі,-sppamn-si
відѣ,3saia----i
чка,-s---mg--i
слѣпа,-s---ogpsi
отъ,---------n
рса,-s---mg--i
і,---------n
въпросішѧ,3paia----i
і,3s---ma--i
оученіці,-p---mn--i
глѭште,-pppamn-si
равві,---------n
къто,-s---qn--i
съгрѣші,3saia----i
сь,-s---mn--i
лі,---------n
ілі,---------n
родітелѣ,-d---mn--i
его,3s---mg--i
да,---------n
слѣпъ,-s---mnpsi
роді,3saia----i
сѧ,3s---qa--i
отъвѣшта,3saia----i
іс,-s---mn--i
ні,---------n
сь,-s---mn--i
съгрѣші,3saia----i
ні,---------n
родітелѣ,-d---mn--i
его,3s---mg--i
нъ,---------n
да,---------n
ѣвѧтъ,3ppia----i
сѧ,3s---qa--i
дѣла,-p---nn--i
бжіѣ,-p---nnpsi
на,---------n
немь,3s---ml--i
мьнѣ,1s---qd--i
подобаетъ,3spia----i
дѣлаті,--pna----i
дѣла,-p---na--i
посълавъшааего,-supamg-wi
мѧ,1s---qa--i
доньдеже,---------n
дьнь,-s---ma--i
естъ,3spia----i
прідетъ,3spia----i
ношть,-s---fa--i
егда,---------n
нікътоже,-s---pn--i
не,---------n
можетъ,3spia----i
дѣлаті,--pna----i
егда,---------n
въ,---------n
мірѣ,-s---ml--i
есмь,1spia----i
свѣтъ,-s---mn--i
есмь,1spia----i
міроу,-s---md--i
сі,-p---na--i
рекъ,-supamn-si
плінѫ,3saia----i
на,---------n
землѫ,-s---fa--i
і,---------n
сътворі,3saia----i
брьніе,-s---nn--i
отъ,---------n
пліновеніѣ,-s---ng--i
і,---------n
помаза,3saia----i
емоу,3s---md--i
очі,-d---na--i
брьніемь,-s---ni--i
і,---------n
рече,3saia----i
емоу,3s---md--i
іді,2spma----i
оумъі,2spma----i
сѧ,3s---qa--i
въ,---------n
кѫпѣлі,-s---fl--i
сілоуамьсцѣ,-s---qlpsi
еже,-s---nn--i
съказаетъ,3spia----i
сѧ,3s---qa--i
посъланъ,-suppmn-si
і,---------n
іде,3saia----i
же,---------n
і,---------n
оумъі,3saia----i
сѧ,3s---qa--i
і,---------n
пріде,3saia----i
вѧдѧ,-sppamn-si
сѫсѣді,-p---mn--i
же,---------n
і,---------n
іже,-p---mn--i
бѣахѫ,3piia----i
відѣлі,-pspamn-si
прѣжде,---------n
ѣко,---------n
просітель,-s---mn--i
бѣ,3siia----i
глахѫ,3piia----i
не,---------n
сь,-s---mn--i
лі,---------n
естъ,3spia----i
сѣдѧ,-sppamn-si
і,---------n
просѧ,-sppamn-si
ові,-p---mn--i
глахѫ,3piia----i
ѣко,---------n
сь,-s---mn--i
естъ,3spia----i
а,---------n
іні,-p---mn--i
глахѫ,3piia----i
подобьнъ,-s---mnpsi
емоу,3s---md--i
естъ,3spia----i
онъ,-s---mn--i
же,---------n
глаше,3siia----i
ѣко,---------n
азъ,1s---qn--i
есмь,1spia----i
глахѫ,3piia----i
же,---------n
емоу,3s---md--i
како,---------n
ті,2s---qd--i
сѧ,3s---qa--i
отврѣсте,3daia----i
очі,-d---nn--i
отъвѣшта,3saia----i
онъ,-s---mn--i
і,---------n
рече,3saia----i
чкъ,-s---mn--i
наріцаемъі,-spppmn-wi
іс,-s---mn--i
брьніе,-s---nn--i
сътворі,3saia----i
і,---------n
помаза,3saia----i
очі,-d---na--i
мі,1s---md--i
і,---------n
рече,3saia----i
мі,1s---qd--i
іді,2spma----i
въ,---------n
кѫпѣль,-s---fa--i
сілаамлѫ,-s---fa--i
і,---------n
оумъі,3saia----i
сѧ,3s---qa--i
шьдъ,-supamn-si
же,---------n
і,---------n
оумъівъ,-supamn-si
сѧ,3s---qa--i
прозьрѣхъ,1saia----i
рѣшѧ,3paia----i
же,---------n
емоу,3s---md--i
къто,-s---mn--i
тъ,-s---mn--i
естъ,3spia----i
гла,3saia----i
не,---------n
вѣмь,1spia----i
вѣсѧ,3paia----i
і,3s---ma--i
къ,---------n
фарісѣомъ,-p---md--i
іже,-s---mn--i
бѣ,3siia----i
іногда,---------n
слѣпъ,-s---mnpsi
бѣ,3siia----i
же,---------n
сѫбота,-s---fn--i
егда,---------n
сътворі,3saia----i
брьніе,-s---nn--i
іс,-s---mn--i
і,---------n
отвръзе,3saia----i
емоу,3s---md--i
очі,-d---na--i
пакъі,---------n
же,---------n
въпрашахѫ,3piia----i
і,3s---ma--i
фарісѣі,-p---mn--i
како,---------n
прозьрѣ,3saia----i
онъ,-s---mn--i
же,---------n
рече,3saia----i
імъ,3p---md--i
брьніе,-s---nn--i
положі,2spma----i
мьнѣ,1s---md--i
на,---------n
очію,-d---nl--i
і,---------n
оумъіхъ,1saia----i
сѧ,3s---qa--i
і,---------n
віждѫ,1spia----i
глахѫ,3piia----i
же,---------n
отъ,---------n
фарісѣі,-p---mn--i
етері,-p---mn--i
нѣстъ,3spia----i
сь,-s---mn--i
отъ,---------n
ба,-s---mg--i
чкъ,-s---mn--i
ѣко,---------n
сѫботъі,-p---fa--i
не,---------n
хранітъ,3spia----i
ові,-p---mn--i
глаахѫ,3piia----i
како,---------n
можетъ,3spia----i
чкъ,-s---mn--i
грѣшьнъ,-s---mnpsi
сіце,---------n
знаменіѣ,-s---ng--i
творіті,--pna----i
і,---------n
распьрѣ,-s---fn--i
бѣ,3siia----i
вь,---------n
ніхъ,3p---ml--i
глашѧ,3paia----i
слѣпьцоу,-s---md--i
пакъі,---------n
тъі,2s---qn--i
чьто,-s---na--i
глеші,2spia----i
о,---------n
немь,3s---ml--i
ѣко,---------n
отвръзе,3saia----i
очі,-d---na--i
твоі,2d---ra--i
онъ,-s---mn--i
же,---------n
рече,3saia----i
ѣко,---------n
пророкъ,-s---mn--i
естъ,3spia----i
не,---------n
ѧсѧ,3paia----i
же,---------n
вѣръі,-s---fg--i
іюдеі,-p---mn--i
о,---------n
немь,3s---ml--i
ѣко,---------n
бѣ,3siia----i
слѣпъ,-s---mnpsi
і,---------n
прозьрѣ,3saia----i
доньдеже,---------n
възгласішѧ,3paia----i
родітелѣ,-d---ma--i
того,-s---og--i
прозьрѣвъшаего,-supamg-wi
і,---------n
въпросішѧ,3paia----i
ѣ,3d---ma--i
глѭште,-pppamn-si
сь,-s---mn--i
лі,---------n
естъ,3spia----i
снъ,-s---mn--i
ваю,2d---qg--i
егоже,-s---mg--i
въі,2d---qn--i
глета,2ppia----i
ѣко,---------n
слѣпъ,-s---mnpsi
роді,3saia----i
сѧ,3s---qa--i
како,---------n
оубо,---------n
нъінѣ,---------n
відітъ,3spia----i
отъвѣштасте,3daia----i
імъ,3p---md--i
родітелѣ,-d---mn--i
его,3s---mg--i
і,---------n
рѣста,3daia----i
то,---------n
вѣвѣ,1dpia----i
ѣко,---------n
сь,-s---mn--i
естъ,3spia----i
снъ,-s---mn--i
наю,1d---qg--i
і,---------n
ѣко,---------n
слѣпъ,-s---mnpsi
роді,3saia----i
сѧ,3s---qa--i
како,---------n
же,---------n
нъінѣ,---------n
відітъ,3spia----i
не,---------n
вѣвѣ,1dpia----i
лі,---------n
къто,-s---qn--i
емоу,3s---md--i
отвръзе,3saia----i
очі,-d---na--i
не,---------n
вѣвѣ,1dpia----i
самого,-s---mg--i
въпросіте,2ppma----i
въздрастъ,-s---ma--i
іматъ,3spia----i
самъ,-s---mn--i
о,---------n
себѣ,3s---ql--i
да,---------n
глетъ,3spia----i
сіце,---------n
рѣсте,3daia----i
родітелѣ,-d---mn--i
его,3s---mg--i
ѣко,---------n
боѣашете,3diia----i
сѧ,3s---qa--i
іюдѣі,-p---mg--i
юже,---------n
бо,---------n
сѧ,3s---qa--i
бѣахѫ,3piia----i
съложілі,-pspamn-si
іюдеі,-p---mn--i
да,---------n
аште,---------n
къто,-s---qn--i
ісповѣстъ,3spia----i
ха,-s---mg--i
отълѫчьнъ,-suppmn-si
сънъмішта,-s---ng--i
бѫдетъ,3sfia----i
сего,-s---ng--i
раді,---------n
родітелѣ,-d---mn--i
его,3s---mg--i
рѣсте,3daia----i
ѣко,---------n
въздрастъ,-s---ma--i
іматъ,3spia----i
самого,-s---mg--i
въпросіте,2ppma----i
възгласішѧ,3paia----i
же,---------n
въторіцеѭ,---------n
чка,-s---mg--i
іже,-s---mn--i
бѣ,3siia----i
слѣпъ,-s---mnpsi
і,---------n
рѣшѧ,3paia----i
емоу,3s---md--i
даждь,2spma----i
славѫ,-s---fa--i
бу,-s---md--i
мъі,1p---qn--i
вѣмъ,1ppia----i
ѣко,---------n
чкъ,-s---mn--i
сь,-s---mn--i
грѣшьнъ,-s---mnpsi
естъ,3spia----i
отъвѣшта,3saia----i
же,---------n
онъ,-s---mn--i
і,---------n
рече,3saia----i
аште,---------n
грѣшьнікъ,-s---mn--i
естъ,3spia----i
не,---------n
вѣмь,1spia----i
едіно,-s---na--i
вѣмь,1spia----i
ѣко,---------n
слѣпъ,-s---mnpsi
бѣхъ,1siia----i
нъінѣ,---------n
же,---------n
віждѫ,1spia----i
рѣшѧ,3paia----i
же,---------n
емоу,3s---md--i
пакъі,---------n
чьто,-s---na--i
сътворі,3saia----i
тебѣ,2s---qd--i
како,---------n
отвръзе,3saia----i
твоі,2s---ma--i
очі,-d---na--i
отъвѣшта,3saia----i
імъ,3p---md--i
рѣхъ,1saia----i
вамъ,2p---qd--i
юже,---------n
і,---------n
не,---------n
слъішасте,2paia----i
чьто,-s---na--i
пакъі,---------n
хоштете,2ppia----i
слъішаті,--pna----i
еда,---------n
і,---------n
въі,2p---mn--i
оученіці,-p---mn--i
его,3s---mg--i
хоштете,2ppia----i
бъіті,--pna----i
оні,-p---mn--i
же,---------n
оукорішѧ,3paia----i
і,3s---ma--i
і,---------n
рѣшѧ,3paia----i
тъі,2s---qn--i
оученікъ,-s---mn--i
